id,carat,cut,cut_ord,color,clarity,clarity_ord,price,retail_price,company_price,,Linear Regression model - provides an equation to use to predict the prices.,
4216,1.01,Premium,4,F,IF,8,9627,7492.53,2247.759,,,
4217,2.01,Premium,4,J,SI1,3,12209,13635.53,4090.659,,,
4218,1.01,Premium,4,H,VS2,5,4959,6130.53,1839.159,,,
4219,1.6,Very Good,3,I,SI2,2,7906,9574.1,2872.23,,,
4220,0.3,Ideal,5,F,VS2,5,601,315.4,94.62,,,
4221,1.07,Ideal,5,E,SI1,3,5537,5885.41,1765.623,,,
4222,0.35,Premium,4,G,VS1,4,906,123.95,37.185,,,
4223,0.95,Premium,4,G,SI2,2,3724,4263.75,1279.125,,,
4224,0.4,Premium,4,G,VVS1,7,1155,1906.6,571.98,,,
4225,0.32,Premium,4,G,SI1,3,477,-582.44,-174.732,,,
4226,0.71,Very Good,3,E,SI1,3,2735,2540.53,762.159,,,
4227,0.31,Ideal,5,E,VS2,5,680,399.53,119.859,,,
4228,1.51,Premium,4,H,SI1,3,10519,9429.03,2828.709,,,
4229,1,Premium,4,E,VVS1,7,10134,6954.4,2086.32,,,
4230,1.17,Ideal,5,G,VS2,5,6321,7634.71,2290.413,,,
4231,0.74,Premium,4,F,SI1,3,2648,2951.02,885.306,,,
4232,0.62,Ideal,5,H,VS2,5,1652,3007.56,902.268,,,
4233,0.26,Very Good,3,E,VVS2,6,597,116.68,35.004,,,
4234,1.08,Fair,1,H,VVS2,6,5171,6699.14,2009.742,,,
4235,0.7,Very Good,3,H,SI2,2,2135,2002.4,600.72,,,
4236,0.7,Ideal,5,I,VS2,5,2390,3680.6,1104.18,,,
4237,1.04,Premium,4,H,SI1,3,4980,5474.92,1642.476,,,
4238,1.71,Good,2,F,SI2,2,11225,10341.43,3102.429,,,
4239,0.61,Ideal,5,I,VVS2,6,1867,3377.43,1013.229,,,
4240,1,Ideal,5,F,SI2,2,3674,4842.5,1452.75,,,
4241,0.91,Ideal,5,G,SI1,3,4240,4539.33,1361.799,,,
4242,2.52,Premium,4,F,SI2,2,18179,17472.16,5241.648,,,
4243,0.31,Premium,4,G,VS2,5,544,241.43,72.429,,,
4244,0.54,Premium,4,D,VS2,5,1993,2176.42,652.926,,,
4245,2.52,Premium,4,H,SI2,2,17522,17472.16,5241.648,,,
4246,0.32,Premium,4,H,VS2,5,471,325.56,97.668,,,
4247,0.4,Good,2,E,SI1,3,682,-225.6,-67.68,,,
4248,0.38,Ideal,5,H,SI1,3,671,80.44,24.132,,,
4249,0.5,Fair,1,F,SI2,2,1031,3.6,1.08,,,
4250,0.73,Very Good,3,F,SI1,3,2326,2708.79,812.637,,,
4251,0.38,Very Good,3,F,VS2,5,906,672.24,201.672,,,
4252,0.53,Premium,4,J,VS2,5,1093,2092.29,627.687,,,
4253,0.34,Ideal,5,G,VS2,5,616,651.92,195.576,,,
4254,0.31,Ideal,5,F,VVS1,7,884,1307.53,392.259,,,
4255,0.7,Premium,4,H,VS1,4,2364,3068.5,920.55,,,
4256,1.55,Ideal,5,G,SI2,2,9530,9469.65,2840.895,,,
4257,0.38,Ideal,5,H,VVS1,7,894,1896.44,568.932,,,
4258,0.3,Ideal,5,E,VS2,5,603,315.4,94.62,,,
4259,0.55,Premium,4,E,VS2,5,1881,2260.55,678.165,,,
4260,1.37,Ideal,5,F,VS1,4,11649,8863.31,2658.993,,,
4261,1.01,Premium,4,H,VS2,5,5260,6130.53,1839.159,,,
4262,0.3,Very Good,3,E,SI1,3,526,-908.8,-272.64,,,
4263,0.28,Ideal,5,F,VVS2,6,787,601.14,180.342,,,
4264,1.01,Very Good,3,H,SI1,3,4680,5064.43,1519.329,,,
4265,0.3,Very Good,3,E,VS2,5,658,-0.8,-0.24,,,
4266,0.76,Premium,4,F,SI1,3,2631,3119.28,935.784,,,
4267,1.01,Premium,4,E,VVS2,6,9711,6584.53,1975.359,,,
4268,0.5,Good,2,D,SI2,2,958,161.7,48.51,,,
4269,0.33,Ideal,5,E,IF,8,1207,1929.79,578.937,,,
4270,0.33,Ideal,5,E,VVS1,7,986,1475.79,442.737,,,
4271,0.56,Ideal,5,G,IF,8,2279,3864.78,1159.434,,,
4272,0.56,Ideal,5,E,VS2,5,1819,2502.78,750.834,,,
4273,0.71,Very Good,3,E,SI1,3,3122,2540.53,762.159,,,
4274,1.53,Premium,4,H,VVS2,6,12092,10959.29,3287.787,,,
4275,1.02,Ideal,5,F,VS1,4,8011,5918.76,1775.628,,,
4276,0.41,Good,2,G,SI2,2,570,-595.47,-178.641,,,
4277,0.8,Ideal,5,E,SI1,3,3362,3613.9,1084.17,,,
4278,1.01,Ideal,5,D,VS2,5,7127,6288.63,1886.589,,,
4279,1.5,Very Good,3,J,VVS1,7,8415,11002.8,3300.84,,,
4280,1.11,Premium,4,J,VS2,5,4265,6971.83,2091.549,,,
4281,1.5,Premium,4,D,SI2,2,8108,8890.9,2667.27,,,
4282,0.34,Very Good,3,H,SI1,3,628,-572.28,-171.684,,,
4283,0.7,Good,2,H,SI2,2,1950,1844.3,553.29,,,
4284,1.5,Ideal,5,I,VVS2,6,10907,10865,3259.5,,,
4285,2.04,Very Good,3,I,VS1,4,18127,14183.82,4255.146,,,
4286,0.81,Very Good,3,E,SI1,3,2797,3381.83,1014.549,,,
4287,0.7,Good,2,E,SI1,3,2459,2298.3,689.49,,,
4288,0.71,Very Good,3,I,SI2,2,1875,2086.53,625.959,,,
4289,0.59,Ideal,5,D,VS2,5,1978,2755.17,826.551,,,
4290,1.2,Ideal,5,H,VS2,5,6487,7887.1,2366.13,,,
4291,0.71,Premium,4,I,VVS1,7,2549,4514.63,1354.389,,,
4292,1.05,Ideal,5,D,SI1,3,5914,5717.15,1715.145,,,
4293,0.35,Premium,4,F,VS2,5,906,577.95,173.385,,,
4294,1,Premium,4,H,VS2,5,5069,6046.4,1813.92,,,
4295,0.7,Good,2,H,VVS2,6,2611,3660.3,1098.09,,,
4296,0.52,Ideal,5,H,IF,8,1798,3528.26,1058.478,,,
4297,0.31,Very Good,3,F,VS1,4,675,-370.67,-111.201,,,
4298,1.01,Ideal,5,E,SI1,3,5751,5380.63,1614.189,,,
4299,2.36,Ideal,5,I,SI2,2,11238,16284.18,4885.254,,,
4300,0.7,Very Good,3,E,SI2,2,2263,2002.4,600.72,,,
4301,1.36,Ideal,5,I,SI1,3,7218,8325.18,2497.554,,,
4302,1.04,Ideal,5,G,VS2,5,6542,6541.02,1962.306,,,
4303,1.51,Very Good,3,I,SI2,2,6914,8816.93,2645.079,,,
4304,0.73,Ideal,5,G,SI1,3,2278,3024.99,907.497,,,
4305,0.51,Ideal,5,G,VVS2,6,1842,2536.13,760.839,,,
4306,0.41,Premium,4,G,SI1,3,923,174.73,52.419,,,
4307,0.3,Ideal,5,F,VS2,5,605,315.4,94.62,,,
4308,0.7,Good,2,D,VS2,5,3033,3206.3,961.89,,,
4309,0.9,Very Good,3,E,VS2,5,4919,5047,1514.1,,,
4310,1.12,Premium,4,D,VS1,4,8633,6601.96,1980.588,,,
4311,0.41,Ideal,5,J,VS2,5,613,1240.83,372.249,,,
4312,0.31,Ideal,5,G,VS2,5,511,399.53,119.859,,,
4313,0.72,Ideal,5,H,VVS1,7,3180,4756.86,1427.058,,,
4314,0.34,Very Good,3,G,VVS1,7,819,1243.72,373.116,,,
4315,0.31,Premium,4,G,VVS1,7,1046,1149.43,344.829,,,
4316,0.72,Very Good,3,I,VS1,4,2048,3078.66,923.598,,,
4317,0.36,Ideal,5,G,IF,8,985,2182.18,654.654,,,
4318,1.01,Very Good,3,F,VS2,5,8330,5972.43,1791.729,,,
4319,0.32,Ideal,5,E,VS1,4,825,29.66,8.898,,,
4320,0.27,Good,2,D,VVS2,6,693,42.71,12.813,,,
4321,0.5,Premium,4,E,VS2,5,1624,1839.9,551.97,,,
4322,0.32,Premium,4,G,VVS2,6,936,779.56,233.868,,,
4323,0.42,Premium,4,F,VS2,5,884,1166.86,350.058,,,
4324,0.4,Ideal,5,H,VVS1,7,1017,2064.7,619.41,,,
4325,1.53,Ideal,5,I,SI1,3,8971,9755.39,2926.617,,,
4326,0.73,Ideal,5,G,SI2,2,2210,2570.99,771.297,,,
4327,0.71,Very Good,3,E,SI1,3,2573,2540.53,762.159,,,
4328,0.53,Ideal,5,E,VVS2,6,2250,2704.39,811.317,,,
4329,0.5,Very Good,3,G,VVS1,7,2180,2589.8,776.94,,,
4330,0.34,Ideal,5,H,VS2,5,537,651.92,195.576,,,
4331,2.29,Ideal,5,J,SI2,2,13200,15695.27,4708.581,,,
4332,1,Good,2,G,VS2,5,5645,5730.2,1719.06,,,
4333,0.58,Ideal,5,E,VS2,5,1884,2671.04,801.312,,,
4334,0.43,Very Good,3,E,I1,1,555,-723.11,-216.933,,,
4335,0.41,Premium,4,H,VS1,4,1061,628.73,188.619,,,
4336,0.34,Premium,4,F,VS2,5,880,493.82,148.146,,,
4337,0.24,Very Good,3,E,VVS2,6,478,-51.58,-15.474,,,
4338,0.33,Premium,4,G,SI2,2,557,-952.31,-285.693,,,
4339,1.01,Ideal,5,E,VS1,4,9503,5834.63,1750.389,,,
4340,2.02,Ideal,5,G,SI2,2,15814,13423.76,4027.128,,,
4341,0.45,Premium,4,F,VS2,5,945,1419.25,425.775,,,
4342,0.47,Ideal,5,G,SI2,2,784,383.61,115.083,,,
4343,1.63,Ideal,5,G,VS1,4,15697,11050.69,3315.207,,,
4344,1.74,Ideal,5,G,VS2,5,16316,12430.12,3729.036,,,
4345,1.01,Good,2,G,VS2,5,5701,5814.33,1744.299,,,
4346,0.35,Ideal,5,I,VVS2,6,590,1190.05,357.015,,,
4347,1.5,Very Good,3,I,VS2,5,9533,10094.8,3028.44,,,
4348,0.32,Ideal,5,D,VS1,4,862,29.66,8.898,,,
4349,0.59,Very Good,3,F,IF,8,2632,3800.97,1140.291,,,
4350,0.55,Very Good,3,D,SI1,3,1692,1194.45,358.335,,,
4351,2.08,Ideal,5,J,IF,8,17986,16652.54,4995.762,,,
4352,0.3,Premium,4,F,VVS2,6,737,611.3,183.39,,,
4353,1,Premium,4,H,SI2,2,3360,4684.4,1405.32,,,
4354,0.3,Ideal,5,J,VS2,5,384,315.4,94.62,,,
4355,1.06,Ideal,5,H,VS2,5,5373,6709.28,2012.784,,,
4356,1,Good,2,F,VS1,4,5829,5276.2,1582.86,,,
4357,0.3,Premium,4,F,VVS2,6,737,611.3,183.39,,,
4358,0.72,Very Good,3,F,VS2,5,2787,3532.66,1059.798,,,
4359,0.41,Premium,4,G,VVS2,6,1076,1536.73,461.019,,,
4360,1.09,Ideal,5,D,SI2,2,5410,5599.67,1679.901,,,
4361,0.41,Ideal,5,G,VS2,5,827,1240.83,372.249,,,
4362,0.31,Very Good,3,H,SI1,3,435,-824.67,-247.401,,,
4363,0.38,Ideal,5,G,VS1,4,794,534.44,160.332,,,
4364,0.52,Very Good,3,G,VS2,5,1446,1850.06,555.018,,,
4365,0.3,Premium,4,H,VVS1,7,819,1065.3,319.59,,,
4366,1.18,Premium,4,J,SI2,2,4274,6198.74,1859.622,,,
4367,0.9,Good,2,E,SI2,2,3660,3526.9,1058.07,,,
4368,1.21,Ideal,5,H,SI1,3,6727,7063.23,2118.969,,,
4369,1.3,Premium,4,H,SI1,3,7498,7662.3,2298.69,,,
4370,1.54,Premium,4,G,VS2,5,13120,10589.42,3176.826,,,
4371,0.31,Ideal,5,E,VS1,4,685,-54.47,-16.341,,,
4372,0.56,Ideal,5,D,VS2,5,1963,2502.78,750.834,,,
4373,2.37,Ideal,5,J,SI1,3,18508,16822.31,5046.693,,,
4374,2.02,Very Good,3,H,SI2,2,14795,13107.56,3932.268,,,
4375,1.26,Premium,4,H,SI1,3,6664,7325.78,2197.734,,,
4376,1.2,Ideal,5,D,VS2,5,9424,7887.1,2366.13,,,
4377,0.31,Ideal,5,I,VS1,4,502,-54.47,-16.341,,,
4378,1.7,Good,2,D,VS2,5,17485,11619.3,3485.79,,,
4379,1.16,Ideal,5,J,SI1,3,4028,6642.58,1992.774,,,
4380,1.13,Very Good,3,E,SI2,2,5052,5619.99,1685.997,,,
4381,0.32,Ideal,5,I,VS1,4,471,29.66,8.898,,,
4382,0.53,Ideal,5,D,VVS1,7,2732,3158.39,947.517,,,
4383,0.3,Ideal,5,G,VS2,5,675,315.4,94.62,,,
4384,1.05,Very Good,3,E,SI1,3,6224,5400.95,1620.285,,,
4385,1.73,Premium,4,G,VS2,5,16960,12187.89,3656.367,,,
4386,0.71,Premium,4,D,SI1,3,2913,2698.63,809.589,,,
4387,0.74,Premium,4,D,VS2,5,3294,3859.02,1157.706,,,
4388,1.05,Premium,4,E,VS2,5,7056,6467.05,1940.115,,,
4389,0.32,Ideal,5,G,VVS2,6,730,937.66,281.298,,,
4390,1,Ideal,5,H,SI1,3,4872,5296.5,1588.95,,,
4391,0.4,Very Good,3,D,SI1,3,924,-67.5,-20.25,,,
4392,1.2,Ideal,5,G,VVS2,6,10454,8341.1,2502.33,,,
4393,1.07,Premium,4,F,SI2,2,4366,5273.31,1581.993,,,
4394,0.41,Premium,4,D,VVS2,6,1105,1536.73,461.019,,,
4395,0.71,Ideal,5,F,VS1,4,3710,3310.73,993.219,,,
4396,0.73,Ideal,5,G,VS1,4,2948,3478.99,1043.697,,,
4397,0.52,Very Good,3,E,SI1,3,1389,942.06,282.618,,,
4398,0.72,Ideal,5,I,VS2,5,2650,3848.86,1154.658,,,
4399,0.78,Premium,4,J,SI2,2,2022,2833.54,850.062,,,
4400,0.72,Fair,1,G,I1,1,1147,1400.46,420.138,,,
4401,0.32,Very Good,3,I,VS2,5,449,167.46,50.238,,,
4402,1,Ideal,5,G,VS2,5,5887,6204.5,1861.35,,,
4403,0.5,Premium,4,E,SI2,2,1181,477.9,143.37,,,
4404,0.33,Ideal,5,F,VS2,5,854,567.79,170.337,,,
4405,0.42,Premium,4,D,VS1,4,1179,712.86,213.858,,,
4406,0.73,Ideal,5,G,IF,8,4142,5294.99,1588.497,,,
4407,0.51,Good,2,D,VS2,5,1831,1607.83,482.349,,,
4408,0.5,Ideal,5,E,VS2,5,1624,1998,599.4,,,
4409,1.21,Very Good,3,I,VS2,5,5931,7655.03,2296.509,,,
4410,0.52,Ideal,5,D,VS2,5,1822,2166.26,649.878,,,
4411,0.58,Ideal,5,F,SI1,3,1705,1763.04,528.912,,,
4412,1.18,Ideal,5,F,VS2,5,7560,7718.84,2315.652,,,
4413,0.94,Premium,4,E,SI1,3,4580,4633.62,1390.086,,,
4414,1.01,Good,2,G,SI1,3,4641,4906.33,1471.899,,,
4415,0.31,Premium,4,D,SI1,3,732,-666.57,-199.971,,,
4416,1.25,Ideal,5,G,SI1,3,6580,7399.75,2219.925,,,
4417,0.43,Ideal,5,G,VVS1,7,1264,2317.09,695.127,,,
4418,0.91,Ideal,5,J,VS1,4,3863,4993.33,1497.999,,,
4419,0.54,Ideal,5,G,VS1,4,1684,1880.52,564.156,,,
4420,1.03,Ideal,5,G,SI2,2,4873,5094.89,1528.467,,,
4421,0.7,Very Good,3,G,SI1,3,2117,2456.4,736.92,,,
4422,0.4,Ideal,5,I,VS1,4,736,702.7,210.81,,,
4423,0.41,Premium,4,I,VVS2,6,827,1536.73,461.019,,,
4424,0.52,Good,2,E,VS2,5,1625,1691.96,507.588,,,
4425,1.01,Very Good,3,D,VS2,5,6738,5972.43,1791.729,,,
4426,0.42,Very Good,3,D,VVS1,7,1547,1916.76,575.028,,,
4427,0.3,Ideal,5,D,SI2,2,447,-1046.6,-313.98,,,
4428,1.05,Very Good,3,G,VS2,5,6070,6308.95,1892.685,,,
4429,0.3,Premium,4,I,VVS2,6,526,611.3,183.39,,,
4430,0.5,Ideal,5,J,VS2,5,1166,1998,599.4,,,
4431,0.32,Very Good,3,F,SI1,3,497,-740.54,-222.162,,,
4432,2.21,Premium,4,F,SI1,3,16804,15318.13,4595.439,,,
4433,1.25,Very Good,3,E,SI2,2,6073,6629.55,1988.865,,,
4434,1.5,Premium,4,I,VS2,5,9479,10252.9,3075.87,,,
4435,1.1,Ideal,5,I,SI2,2,4624,5683.8,1705.14,,,
4436,0.7,Ideal,5,F,SI1,3,2833,2772.6,831.78,,,
4437,0.31,Good,2,F,VVS2,6,846,379.23,113.769,,,
4438,0.35,Premium,4,E,VS2,5,984,577.95,173.385,,,
4439,1.14,Premium,4,D,SI2,2,5047,5862.22,1758.666,,,
4440,0.3,Premium,4,I,VS1,4,608,-296.7,-89.01,,,
4441,0.71,Ideal,5,I,VVS2,6,2559,4218.73,1265.619,,,
4442,0.9,Ideal,5,F,VS2,5,5160,5363.2,1608.96,,,
4443,0.82,Ideal,5,H,VS2,5,2804,4690.16,1407.048,,,
4444,1.1,Very Good,3,H,SI2,2,4561,5367.6,1610.28,,,
4445,1.51,Premium,4,J,SI1,3,7255,9429.03,2828.709,,,
4446,0.3,Ideal,5,F,VS2,5,573,315.4,94.62,,,
4447,1.24,Ideal,5,J,SI1,3,5000,7315.62,2194.686,,,
4448,0.4,Premium,4,F,VS1,4,1050,544.6,163.38,,,
4449,0.51,Premium,4,E,VS1,4,1989,1470.03,441.009,,,
4450,0.3,Premium,4,E,VS2,5,658,157.3,47.19,,,
4451,1.2,Very Good,3,I,SI1,3,5211,6662.9,1998.87,,,
4452,1.06,Premium,4,I,SI1,3,4372,5643.18,1692.954,,,
4453,0.31,Ideal,5,F,VS2,5,749,399.53,119.859,,,
4454,0.24,Very Good,3,F,VVS1,7,608,402.42,120.726,,,
4455,0.42,Very Good,3,G,SI1,3,737,100.76,30.228,,,
4456,0.9,Fair,1,H,SI1,3,3145,3822.8,1146.84,,,
4457,0.5,Very Good,3,D,VS2,5,1758,1681.8,504.54,,,
4458,0.3,Good,2,E,SI2,2,421,-1520.9,-456.27,,,
4459,0.32,Ideal,5,F,VVS1,7,867,1391.66,417.498,,,
4460,0.39,Ideal,5,E,IF,8,1333,2434.57,730.371,,,
4461,0.23,Good,2,F,VS1,4,402,-1201.81,-360.543,,,
4462,0.5,Premium,4,D,SI2,2,1190,477.9,143.37,,,
4463,0.61,Ideal,5,D,VS1,4,2658,2469.43,740.829,,,
4464,1.04,Ideal,5,G,SI2,2,4200,5179.02,1553.706,,,
4465,0.42,Very Good,3,G,VVS2,6,1031,1462.76,438.828,,,
4466,1.08,Premium,4,J,SI1,3,4173,5811.44,1743.432,,,
4467,1.02,Ideal,5,E,SI1,3,5055,5464.76,1639.428,,,
4468,0.3,Very Good,3,G,VVS1,7,789,907.2,272.16,,,
4469,0.55,Ideal,5,F,VS1,4,1881,1964.65,589.395,,,
4470,0.41,Ideal,5,F,VVS2,6,1115,1694.83,508.449,,,
4471,0.54,Ideal,5,G,VVS2,6,1985,2788.52,836.556,,,
4472,0.8,Ideal,5,H,VS1,4,3111,4067.9,1220.37,,,
4473,0.3,Ideal,5,E,VVS1,7,956,1223.4,367.02,,,
4474,1.06,Very Good,3,G,VS1,4,7132,5939.08,1781.724,,,
4475,1.01,Ideal,5,G,SI1,3,5698,5380.63,1614.189,,,
4476,0.4,Good,2,E,SI2,2,798,-679.6,-203.88,,,
4477,0.34,Ideal,5,F,IF,8,1276,2013.92,604.176,,,
4478,1.51,Premium,4,G,VS1,4,14156,9883.03,2964.909,,,
4479,0.4,Ideal,5,E,VVS2,6,1238,1610.7,483.21,,,
4480,0.75,Premium,4,G,SI2,2,2250,2581.15,774.345,,,
4481,1.5,Premium,4,F,VS1,4,15478,9798.9,2939.67,,,
4482,0.51,Very Good,3,F,SI1,3,1312,857.93,257.379,,,
4483,0.3,Ideal,5,I,SI2,2,367,-1046.6,-313.98,,,
4484,0.3,Ideal,5,F,VS2,5,776,315.4,94.62,,,
4485,0.34,Ideal,5,H,IF,8,863,2013.92,604.176,,,
4486,0.9,Very Good,3,H,VS2,5,3810,5047,1514.1,,,
4487,0.4,Very Good,3,E,VS2,5,912,840.5,252.15,,,
4488,2.06,Premium,4,I,SI1,3,15517,14056.18,4216.854,,,
4489,0.32,Ideal,5,F,VS2,5,645,483.66,145.098,,,
4490,0.7,Good,2,F,SI1,3,2242,2298.3,689.49,,,
4491,1.01,Very Good,3,F,VS2,5,6598,5972.43,1791.729,,,
4492,1.01,Very Good,3,D,SI2,2,4260,4610.43,1383.129,,,
4493,1.31,Premium,4,G,VS1,4,10071,8200.43,2460.129,,,
4494,1.52,Ideal,5,G,SI2,2,8852,9217.26,2765.178,,,
4495,0.38,Premium,4,G,VS2,5,918,830.34,249.102,,,
4496,0.31,Ideal,5,H,VS2,5,513,399.53,119.859,,,
4497,0.31,Very Good,3,G,VS2,5,471,83.33,24.999,,,
4498,0.53,Ideal,5,H,SI1,3,1255,1342.39,402.717,,,
4499,0.73,Ideal,5,J,VS1,4,2121,3478.99,1043.697,,,
4500,1.02,Very Good,3,F,VS2,5,6047,6056.56,1816.968,,,
4501,1.5,Good,2,H,SI1,3,9394,9028.7,2708.61,,,
4502,1.49,Good,2,I,SI2,2,5407,8490.57,2547.171,,,
4503,1.01,Good,2,F,VS2,5,6271,5814.33,1744.299,,,
4504,1.27,Ideal,5,F,VS2,5,10656,8476.01,2542.803,,,
4505,0.3,Ideal,5,G,VS1,4,605,-138.6,-41.58,,,
4506,0.7,Very Good,3,I,VS2,5,2360,3364.4,1009.32,,,
4507,1,Very Good,3,G,IF,8,7682,7250.3,2175.09,,,
4508,0.81,Premium,4,H,VS1,4,3107,3993.93,1198.179,,,
4509,0.7,Good,2,F,SI1,3,2423,2298.3,689.49,,,
4510,1.01,Good,2,H,SI1,3,4488,4906.33,1471.899,,,
4511,0.81,Ideal,5,G,SI2,2,2789,3244.03,973.209,,,
4512,1.59,Premium,4,D,SI2,2,7779,9648.07,2894.421,,,
4513,0.38,Premium,4,F,VVS1,7,1200,1738.34,521.502,,,
4514,0.75,Very Good,3,D,SI1,3,3046,2877.05,863.115,,,
4515,0.89,Very Good,3,F,SI2,2,3356,3600.87,1080.261,,,
4516,0.41,Very Good,3,G,VS2,5,800,924.63,277.389,,,
4517,1.06,Premium,4,F,SI1,3,4774,5643.18,1692.954,,,
4518,0.95,Ideal,5,F,SI1,3,6291,4875.85,1462.755,,,
4519,1.25,Very Good,3,F,VS2,5,9377,7991.55,2397.465,,,
4520,0.73,Premium,4,E,SI2,2,2409,2412.89,723.867,,,
4521,1.02,Ideal,5,G,SI1,3,4633,5464.76,1639.428,,,
4522,0.48,Good,2,F,VS1,4,1268,901.44,270.432,,,
4523,2.07,Premium,4,I,SI1,3,15392,14140.31,4242.093,,,
4524,0.83,Very Good,3,H,VS2,5,3276,4458.09,1337.427,,,
4525,0.63,Ideal,5,D,SI1,3,2313,2183.69,655.107,,,
4526,0.44,Premium,4,F,VVS2,6,1253,1789.12,536.736,,,
4527,1.5,Very Good,3,E,VS2,5,13892,10094.8,3028.44,,,
4528,0.53,Ideal,5,H,VS1,4,1607,1796.39,538.917,,,
4529,0.7,Very Good,3,H,VVS1,7,2788,4272.4,1281.72,,,
4530,2.02,Premium,4,E,SI2,2,18117,13265.66,3979.698,,,
4531,1.5,Premium,4,E,VS2,5,14179,10252.9,3075.87,,,
4532,0.41,Ideal,5,E,VVS2,6,1243,1694.83,508.449,,,
4533,0.39,Very Good,3,D,VVS2,6,1056,1210.37,363.111,,,
4534,1.5,Very Good,3,E,SI1,3,11586,9186.8,2756.04,,,
4535,2.03,Premium,4,H,SI2,2,16075,13349.79,4004.937,,,
4536,0.32,Premium,4,F,SI2,2,540,-1036.44,-310.932,,,
4537,0.3,Good,2,G,VS2,5,526,-158.9,-47.67,,,
4538,1.05,Good,2,G,SI2,2,4241,4788.85,1436.655,,,
4539,0.38,Ideal,5,E,IF,8,1433,2350.44,705.132,,,
4540,0.3,Ideal,5,D,SI1,3,508,-592.6,-177.78,,,
4541,1.13,Ideal,5,H,SI2,2,4556,5936.19,1780.857,,,
4542,0.92,Ideal,5,G,SI2,2,4068,4169.46,1250.838,,,
4543,0.31,Ideal,5,G,VS2,5,500,399.53,119.859,,,
4544,1.01,Good,2,J,VS1,4,4189,5360.33,1608.099,,,
4545,0.33,Premium,4,F,SI1,3,705,-498.31,-149.493,,,
4546,1.13,Premium,4,G,SI2,2,4518,5778.09,1733.427,,,
4547,0.41,Premium,4,G,SI1,3,923,174.73,52.419,,,
4548,0.3,Premium,4,J,VS2,5,473,157.3,47.19,,,
4549,1.06,Very Good,3,G,VS1,4,6595,5939.08,1781.724,,,
4550,1.79,Ideal,5,J,VS2,5,10658,12850.77,3855.231,,,
4551,0.54,Premium,4,G,VS1,4,1684,1722.42,516.726,,,
4552,0.76,Good,2,I,SI1,3,2326,2803.08,840.924,,,
4553,0.3,Ideal,5,I,VVS2,6,515,769.4,230.82,,,
4554,0.24,Ideal,5,F,VS1,4,572,-643.38,-193.014,,,
4555,0.71,Very Good,3,G,VS2,5,2137,3448.53,1034.559,,,
4556,0.51,Ideal,5,G,VVS2,6,2303,2536.13,760.839,,,
4557,0.7,Good,2,E,SI2,2,2028,1844.3,553.29,,,
4558,0.28,Very Good,3,E,VVS2,6,612,284.94,85.482,,,
4559,0.51,Premium,4,E,VS2,5,1656,1924.03,577.209,,,
4560,0.51,Premium,4,E,VS2,5,1614,1924.03,577.209,,,
4561,1.09,Premium,4,H,VS2,5,5677,6803.57,2041.071,,,
4562,0.31,Very Good,3,E,VS2,5,680,83.33,24.999,,,
4563,1.71,Ideal,5,H,SI1,3,12641,11269.73,3380.919,,,
4564,0.4,Ideal,5,G,SI1,3,942,248.7,74.61,,,
4565,0.36,Premium,4,E,VS1,4,1094,208.08,62.424,,,
4566,1.01,Premium,4,I,SI2,2,3461,4768.53,1430.559,,,
4567,1.5,Premium,4,G,VS2,5,11189,10252.9,3075.87,,,
4568,0.53,Ideal,5,E,VVS2,6,2456,2704.39,811.317,,,
4569,0.94,Fair,1,H,SI1,3,3285,4159.32,1247.796,,,
4570,0.75,Premium,4,G,SI1,3,1980,3035.15,910.545,,,
4571,1.21,Good,2,E,VS1,4,8902,7042.93,2112.879,,,
4572,1.08,Very Good,3,E,SI2,2,4415,5199.34,1559.802,,,
4573,1.5,Premium,4,F,SI1,3,10962,9344.9,2803.47,,,
4574,0.38,Very Good,3,F,SI1,3,660,-235.76,-70.728,,,
4575,1.01,Very Good,3,E,VS2,5,6516,5972.43,1791.729,,,
4576,0.72,Very Good,3,H,VS1,4,2594,3078.66,923.598,,,
4577,0.7,Very Good,3,E,VS1,4,3177,2910.4,873.12,,,
4578,0.31,Very Good,3,G,IF,8,924,1445.33,433.599,,,
4579,0.32,Very Good,3,G,VVS2,6,730,621.46,186.438,,,
4580,0.9,Premium,4,I,VS2,5,3292,5205.1,1561.53,,,
4581,0.7,Ideal,5,F,VS1,4,2874,3226.6,967.98,,,
4582,0.5,Ideal,5,G,VVS2,6,1838,2452,735.6,,,
4583,1.35,Fair,1,H,VS2,5,5625,8516.65,2554.995,,,
4584,0.31,Ideal,5,H,VVS1,7,687,1307.53,392.259,,,
4585,1.28,Premium,4,G,SI2,2,6236,7040.04,2112.012,,,
4586,0.7,Fair,1,F,VS2,5,2369,3048.2,914.46,,,
4587,1.02,Premium,4,H,SI1,3,5055,5306.66,1591.998,,,
4588,1.2,Premium,4,G,I1,1,3091,5913,1773.9,,,
4589,0.31,Very Good,3,E,SI1,3,698,-824.67,-247.401,,,
4590,1.28,Ideal,5,H,SI1,3,6701,7652.14,2295.642,,,
4591,0.72,Premium,4,I,IF,8,2795,5052.76,1515.828,,,
4592,0.7,Premium,4,E,SI1,3,2679,2614.5,784.35,,,
4593,1.5,Premium,4,I,VS2,5,8820,10252.9,3075.87,,,
4594,0.7,Very Good,3,J,SI2,2,1609,2002.4,600.72,,,
4595,0.71,Ideal,5,I,VS2,5,2681,3764.73,1129.419,,,
