id,carat,cut,cut_ord,color,clarity,clarity_ord,retail_price,company_price,retail_price_if_1_carat_more,diff_btwn_carats,carat_squared,,Linear Regression model - provides an equation to use to predict the prices.,,,,,,,"1.    According to the model, if a diamond is 1 carat heavier than another with the same cut, how much more should I expect to pay? Why?"
1069,0.38,Ideal,5,F,VVS2,6,1442.44,432.732,9855.44,8413,-1723.491459,,,,,,,,,
1097,0.38,Ideal,5,H,VS1,4,534.44,160.332,8947.44,8413,-2631.491459,,,,,,,,,
1233,0.38,Ideal,5,G,VS1,4,534.44,160.332,8947.44,8413,-2631.491459,,,,,,,,,
1262,0.38,Ideal,5,F,VS2,5,988.44,296.532,9401.44,8413,-2177.491459,,,,,,,,,
1294,0.38,Ideal,5,F,VVS1,7,1896.44,568.932,10309.44,8413,-1269.491459,,,,,,,,,
1326,0.38,Ideal,5,F,VVS2,6,1442.44,432.732,9855.44,8413,-1723.491459,,,,,,,,,
1552,0.38,Premium,4,I,SI2,2,-531.66,-159.498,7881.34,8413,-3697.591459,,,,,,,,,
1614,0.38,Premium,4,D,VVS2,6,1284.34,385.302,9697.34,8413,-1881.591459,,,,,,,,,
1777,0.38,Premium,4,G,VS1,4,376.34,112.902,8789.34,8413,-2789.591459,,,,,,,,,
1789,0.38,Ideal,5,F,VS2,5,988.44,296.532,9401.44,8413,-2177.491459,,,,,,,,,
1821,0.38,Premium,4,H,SI1,3,-77.66,-23.298,8335.34,8413,-3243.591459,,,,,,,,,
1822,0.38,Very Good,3,G,VS1,4,218.24,65.472,8631.24,8413,-2947.691459,,,,,,,,,
1831,0.38,Very Good,3,F,VS2,5,672.24,201.672,9085.24,8413,-2493.691459,,,,,,,,,
2179,0.38,Ideal,5,E,VS1,4,534.44,160.332,8947.44,8413,-2631.491459,,,,,,,,,
2195,0.38,Premium,4,F,SI1,3,-77.66,-23.298,8335.34,8413,-3243.591459,,,,,,,,,
2204,0.38,Ideal,5,F,SI1,3,80.44,24.132,8493.44,8413,-3085.491459,,,,,,,,,
2227,0.38,Very Good,3,I,VS1,4,218.24,65.472,8631.24,8413,-2947.691459,,,,,,,,,
2297,0.38,Very Good,3,H,SI2,2,-689.76,-206.928,7723.24,8413,-3855.691459,,,,,,,,,
2358,0.38,Premium,4,E,VS2,5,830.34,249.102,9243.34,8413,-2335.591459,,,,,,,,,
2473,0.38,Ideal,5,G,VVS1,7,1896.44,568.932,10309.44,8413,-1269.491459,,,,,,,,,
2493,0.38,Ideal,5,F,VVS1,7,1896.44,568.932,10309.44,8413,-1269.491459,,,,,,,,,
2540,0.38,Ideal,5,G,VS1,4,534.44,160.332,8947.44,8413,-2631.491459,,,,,,,,,
2559,0.38,Ideal,5,G,VS2,5,988.44,296.532,9401.44,8413,-2177.491459,,,,,,,,,
2586,0.38,Ideal,5,F,VVS1,7,1896.44,568.932,10309.44,8413,-1269.491459,,,,,,,,,
2677,0.38,Ideal,5,G,VS2,5,988.44,296.532,9401.44,8413,-2177.491459,,,,,,,,,
2842,0.38,Premium,4,H,VS2,5,830.34,249.102,9243.34,8413,-2335.591459,,,,,,,,,
2906,0.38,Good,2,F,VS2,5,514.14,154.242,8927.14,8413,-2651.791459,,,,,,,,,
96,0.39,Ideal,5,F,IF,8,2434.57,730.371,10847.57,8413,-812.5585144,,,,,,,,,
288,0.39,Ideal,5,G,SI2,2,-289.43,-86.829,8123.57,8413,-3536.558514,,,,,,,,,
441,0.39,Premium,4,G,VS2,5,914.47,274.341,9327.47,8413,-2332.658514,,,,,,,,,
463,0.39,Ideal,5,H,SI2,2,-289.43,-86.829,8123.57,8413,-3536.558514,,,,,,,,,
603,0.39,Premium,4,G,IF,8,2276.47,682.941,10689.47,8413,-970.6585144,,,,,,,,,
740,0.39,Fair,1,E,SI1,3,-467.83,-140.349,7945.17,8413,-3714.958514,,,,,,,,,
818,0.39,Very Good,3,G,VVS2,6,1210.37,363.111,9623.37,8413,-2036.758514,,,,,,,,,
969,0.39,Good,2,E,VVS2,6,1052.27,315.681,9465.27,8413,-2194.858514,,,,,,,,,
1020,0.39,Very Good,3,E,VVS2,6,1210.37,363.111,9623.37,8413,-2036.758514,,,,,,,,,
1063,0.39,Very Good,3,E,VVS2,6,1210.37,363.111,9623.37,8413,-2036.758514,,,,,,,,,
1285,0.39,Ideal,5,G,VS1,4,618.57,185.571,9031.57,8413,-2628.558514,,,,,,,,,
1415,0.39,Very Good,3,I,VVS2,6,1210.37,363.111,9623.37,8413,-2036.758514,,,,,,,,,
1616,0.39,Ideal,5,F,VVS1,7,1980.57,594.171,10393.57,8413,-1266.558514,,,,,,,,,
1743,0.39,Ideal,5,G,VVS1,7,1980.57,594.171,10393.57,8413,-1266.558514,,,,,,,,,
1849,0.39,Ideal,5,E,VVS2,6,1526.57,457.971,9939.57,8413,-1720.558514,,,,,,,,,
1891,0.39,Ideal,5,F,VVS2,6,1526.57,457.971,9939.57,8413,-1720.558514,,,,,,,,,
1912,0.39,Ideal,5,H,IF,8,2434.57,730.371,10847.57,8413,-812.5585144,,,,,,,,,
1954,0.39,Ideal,5,D,VVS2,6,1526.57,457.971,9939.57,8413,-1720.558514,,,,,,,,,
2052,0.39,Very Good,3,E,VS1,4,302.37,90.711,8715.37,8413,-2944.758514,,,,,,,,,
2152,0.39,Ideal,5,E,VS2,5,1072.57,321.771,9485.57,8413,-2174.558514,,,,,,,,,
2232,0.39,Premium,4,E,VS2,5,914.47,274.341,9327.47,8413,-2332.658514,,,,,,,,,
2280,0.39,Ideal,5,F,SI1,3,164.57,49.371,8577.57,8413,-3082.558514,,,,,,,,,
2543,0.39,Very Good,3,J,VVS1,7,1664.37,499.311,10077.37,8413,-1582.758514,,,,,,,,,
2858,0.39,Very Good,3,E,VS2,5,756.37,226.911,9169.37,8413,-2490.758514,,,,,,,,,
2912,0.39,Very Good,3,G,VVS1,7,1664.37,499.311,10077.37,8413,-1582.758514,,,,,,,,,
45,0.4,Very Good,3,F,VVS1,7,1748.5,524.55,10161.5,8413,-1579.548158,,,,,,,,,
233,0.4,Premium,4,D,SI2,2,-363.4,-109.02,8049.6,8413,-3691.448158,,,,,,,,,
262,0.4,Premium,4,F,SI1,3,90.6,27.18,8503.6,8413,-3237.448158,,,,,,,,,
283,0.4,Good,2,F,VS2,5,682.4,204.72,9095.4,8413,-2645.648158,,,,,,,,,
314,0.4,Very Good,3,F,SI1,3,-67.5,-20.25,8345.5,8413,-3395.548158,,,,,,,,,
341,0.4,Very Good,3,D,SI2,2,-521.5,-156.45,7891.5,8413,-3849.548158,,,,,,,,,
373,0.4,Very Good,3,G,SI1,3,-67.5,-20.25,8345.5,8413,-3395.548158,,,,,,,,,
391,0.4,Very Good,3,D,VS2,5,840.5,252.15,9253.5,8413,-2487.548158,,,,,,,,,
401,0.4,Very Good,3,D,SI2,2,-521.5,-156.45,7891.5,8413,-3849.548158,,,,,,,,,
408,0.4,Ideal,5,F,IF,8,2518.7,755.61,10931.7,8413,-809.3481576,,,,,,,,,
484,0.4,Ideal,5,I,VS2,5,1156.7,347.01,9569.7,8413,-2171.348158,,,,,,,,,
518,0.4,Very Good,3,D,VVS2,6,1294.5,388.35,9707.5,8413,-2033.548158,,,,,,,,,
537,0.4,Premium,4,E,VS1,4,544.6,163.38,8957.6,8413,-2783.448158,,,,,,,,,
575,0.4,Premium,4,E,SI1,3,90.6,27.18,8503.6,8413,-3237.448158,,,,,,,,,
649,0.4,Very Good,3,D,SI1,3,-67.5,-20.25,8345.5,8413,-3395.548158,,,,,,,,,
668,0.4,Premium,4,D,SI2,2,-363.4,-109.02,8049.6,8413,-3691.448158,,,,,,,,,
677,0.4,Ideal,5,G,IF,8,2518.7,755.61,10931.7,8413,-809.3481576,,,,,,,,,
690,0.4,Ideal,5,D,VS2,5,1156.7,347.01,9569.7,8413,-2171.348158,,,,,,,,,
732,0.4,Premium,4,D,VS2,5,998.6,299.58,9411.6,8413,-2329.448158,,,,,,,,,
770,0.4,Very Good,3,E,VS1,4,386.5,115.95,8799.5,8413,-2941.548158,,,,,,,,,
784,0.4,Premium,4,D,VS1,4,544.6,163.38,8957.6,8413,-2783.448158,,,,,,,,,
860,0.4,Premium,4,H,SI1,3,90.6,27.18,8503.6,8413,-3237.448158,,,,,,,,,
897,0.4,Ideal,5,H,VS1,4,702.7,210.81,9115.7,8413,-2625.348158,,,,,,,,,
1041,0.4,Very Good,3,E,IF,8,2202.5,660.75,10615.5,8413,-1125.548158,,,,,,,,,
1079,0.4,Very Good,3,E,SI1,3,-67.5,-20.25,8345.5,8413,-3395.548158,,,,,,,,,
1197,0.4,Ideal,5,I,VS1,4,702.7,210.81,9115.7,8413,-2625.348158,,,,,,,,,
1204,0.4,Good,2,E,SI2,2,-679.6,-203.88,7733.4,8413,-4007.648158,,,,,,,,,
1267,0.4,Premium,4,F,VS1,4,544.6,163.38,8957.6,8413,-2783.448158,,,,,,,,,
1319,0.4,Ideal,5,G,VS2,5,1156.7,347.01,9569.7,8413,-2171.348158,,,,,,,,,
1346,0.4,Premium,4,H,VS2,5,998.6,299.58,9411.6,8413,-2329.448158,,,,,,,,,
1382,0.4,Ideal,5,F,VVS2,6,1610.7,483.21,10023.7,8413,-1717.348158,,,,,,,,,
1383,0.4,Ideal,5,E,VS2,5,1156.7,347.01,9569.7,8413,-2171.348158,,,,,,,,,
1412,0.4,Good,2,F,I1,1,-1133.6,-340.08,7279.4,8413,-4461.648158,,,,,,,,,
1457,0.4,Ideal,5,D,VVS1,7,2064.7,619.41,10477.7,8413,-1263.348158,,,,,,,,,
1461,0.4,Ideal,5,F,VVS1,7,2064.7,619.41,10477.7,8413,-1263.348158,,,,,,,,,
1486,0.4,Very Good,3,D,VS2,5,840.5,252.15,9253.5,8413,-2487.548158,,,,,,,,,
1496,0.4,Premium,4,G,VVS2,6,1452.6,435.78,9865.6,8413,-1875.448158,,,,,,,,,
1502,0.4,Good,2,F,VS2,5,682.4,204.72,9095.4,8413,-2645.648158,,,,,,,,,
1510,0.4,Very Good,3,F,VVS1,7,1748.5,524.55,10161.5,8413,-1579.548158,,,,,,,,,
1519,0.4,Very Good,3,E,SI1,3,-67.5,-20.25,8345.5,8413,-3395.548158,,,,,,,,,
1525,0.4,Very Good,3,F,VVS1,7,1748.5,524.55,10161.5,8413,-1579.548158,,,,,,,,,
1533,0.4,Very Good,3,H,VVS1,7,1748.5,524.55,10161.5,8413,-1579.548158,,,,,,,,,
1559,0.4,Ideal,5,D,VVS2,6,1610.7,483.21,10023.7,8413,-1717.348158,,,,,,,,,
1803,0.4,Good,2,F,SI1,3,-225.6,-67.68,8187.4,8413,-3553.648158,,,,,,,,,
1926,0.4,Very Good,3,D,VS2,5,840.5,252.15,9253.5,8413,-2487.548158,,,,,,,,,
2009,0.4,Ideal,5,F,VS2,5,1156.7,347.01,9569.7,8413,-2171.348158,,,,,,,,,
2084,0.4,Premium,4,F,SI1,3,90.6,27.18,8503.6,8413,-3237.448158,,,,,,,,,
2085,0.4,Very Good,3,E,VS2,5,840.5,252.15,9253.5,8413,-2487.548158,,,,,,,,,
2156,0.4,Ideal,5,F,VS1,4,702.7,210.81,9115.7,8413,-2625.348158,,,,,,,,,
2174,0.4,Ideal,5,E,SI2,2,-205.3,-61.59,8207.7,8413,-3533.348158,,,,,,,,,
2236,0.4,Ideal,5,G,VS2,5,1156.7,347.01,9569.7,8413,-2171.348158,,,,,,,,,
2241,0.4,Premium,4,D,VVS2,6,1452.6,435.78,9865.6,8413,-1875.448158,,,,,,,,,
2295,0.4,Very Good,3,G,SI2,2,-521.5,-156.45,7891.5,8413,-3849.548158,,,,,,,,,
2308,0.4,Ideal,5,G,VVS2,6,1610.7,483.21,10023.7,8413,-1717.348158,,,,,,,,,
2340,0.4,Very Good,3,E,SI2,2,-521.5,-156.45,7891.5,8413,-3849.548158,,,,,,,,,
2341,0.4,Very Good,3,J,IF,8,2202.5,660.75,10615.5,8413,-1125.548158,,,,,,,,,
2373,0.4,Premium,4,F,VVS2,6,1452.6,435.78,9865.6,8413,-1875.448158,,,,,,,,,
2443,0.4,Premium,4,D,SI1,3,90.6,27.18,8503.6,8413,-3237.448158,,,,,,,,,
2471,0.4,Good,2,D,SI1,3,-225.6,-67.68,8187.4,8413,-3553.648158,,,,,,,,,
2518,0.4,Good,2,D,SI1,3,-225.6,-67.68,8187.4,8413,-3553.648158,,,,,,,,,
2541,0.4,Premium,4,F,VVS1,7,1906.6,571.98,10319.6,8413,-1421.448158,,,,,,,,,
2578,0.4,Very Good,3,D,VVS2,6,1294.5,388.35,9707.5,8413,-2033.548158,,,,,,,,,
2599,0.4,Very Good,3,E,VVS1,7,1748.5,524.55,10161.5,8413,-1579.548158,,,,,,,,,
2622,0.4,Premium,4,G,VS1,4,544.6,163.38,8957.6,8413,-2783.448158,,,,,,,,,
2648,0.4,Ideal,5,E,VS2,5,1156.7,347.01,9569.7,8413,-2171.348158,,,,,,,,,
2789,0.4,Ideal,5,H,IF,8,2518.7,755.61,10931.7,8413,-809.3481576,,,,,,,,,
2808,0.4,Very Good,3,G,VS1,4,386.5,115.95,8799.5,8413,-2941.548158,,,,,,,,,
2823,0.4,Ideal,5,I,SI1,3,248.7,74.61,8661.7,8413,-3079.348158,,,,,,,,,
2877,0.4,Premium,4,D,SI2,2,-363.4,-109.02,8049.6,8413,-3691.448158,,,,,,,,,
2884,0.4,Premium,4,H,VS1,4,544.6,163.38,8957.6,8413,-2783.448158,,,,,,,,,
2964,0.4,Premium,4,D,SI2,2,-363.4,-109.02,8049.6,8413,-3691.448158,,,,,,,,,
2977,0.4,Ideal,5,F,VS2,5,1156.7,347.01,9569.7,8413,-2171.348158,,,,,,,,,
34,0.41,Premium,4,G,VS2,5,1082.73,324.819,9495.73,8413,-2325.934149,,,,,,,,,
56,0.41,Ideal,5,H,VS1,4,786.83,236.049,9199.83,8413,-2621.834149,,,,,,,,,
81,0.41,Ideal,5,E,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
131,0.41,Premium,4,F,VVS2,6,1536.73,461.019,9949.73,8413,-1871.934149,,,,,,,,,
132,0.41,Ideal,5,G,VVS1,7,2148.83,644.649,10561.83,8413,-1259.834149,,,,,,,,,
171,0.41,Ideal,5,F,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
196,0.41,Premium,4,G,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
244,0.41,Ideal,5,E,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
339,0.41,Very Good,3,D,SI1,3,16.63,4.989,8429.63,8413,-3392.034149,,,,,,,,,
340,0.41,Premium,4,E,SI1,3,174.73,52.419,8587.73,8413,-3233.934149,,,,,,,,,
410,0.41,Good,2,E,VS2,5,766.53,229.959,9179.53,8413,-2642.134149,,,,,,,,,
429,0.41,Very Good,3,E,SI2,2,-437.37,-131.211,7975.63,8413,-3846.034149,,,,,,,,,
489,0.41,Ideal,5,G,VS1,4,786.83,236.049,9199.83,8413,-2621.834149,,,,,,,,,
552,0.41,Ideal,5,G,SI2,2,-121.17,-36.351,8291.83,8413,-3529.834149,,,,,,,,,
569,0.41,Premium,4,H,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
570,0.41,Ideal,5,F,VS1,4,786.83,236.049,9199.83,8413,-2621.834149,,,,,,,,,
618,0.41,Premium,4,F,VS2,5,1082.73,324.819,9495.73,8413,-2325.934149,,,,,,,,,
645,0.41,Ideal,5,F,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
655,0.41,Very Good,3,G,VVS2,6,1378.63,413.589,9791.63,8413,-2030.034149,,,,,,,,,
687,0.41,Premium,4,G,VVS2,6,1536.73,461.019,9949.73,8413,-1871.934149,,,,,,,,,
731,0.41,Very Good,3,G,VS1,4,470.63,141.189,8883.63,8413,-2938.034149,,,,,,,,,
768,0.41,Ideal,5,D,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
789,0.41,Ideal,5,F,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
798,0.41,Premium,4,E,VS2,5,1082.73,324.819,9495.73,8413,-2325.934149,,,,,,,,,
804,0.41,Premium,4,F,VVS2,6,1536.73,461.019,9949.73,8413,-1871.934149,,,,,,,,,
808,0.41,Premium,4,E,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
829,0.41,Premium,4,F,SI2,2,-279.27,-83.781,8133.73,8413,-3687.934149,,,,,,,,,
903,0.41,Very Good,3,H,SI1,3,16.63,4.989,8429.63,8413,-3392.034149,,,,,,,,,
913,0.41,Ideal,5,D,SI2,2,-121.17,-36.351,8291.83,8413,-3529.834149,,,,,,,,,
933,0.41,Ideal,5,F,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
946,0.41,Premium,4,I,VVS2,6,1536.73,461.019,9949.73,8413,-1871.934149,,,,,,,,,
980,0.41,Good,2,E,VVS1,7,1674.53,502.359,10087.53,8413,-1734.134149,,,,,,,,,
1132,0.41,Ideal,5,D,SI2,2,-121.17,-36.351,8291.83,8413,-3529.834149,,,,,,,,,
1134,0.41,Premium,4,F,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
1145,0.41,Premium,4,E,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
1169,0.41,Ideal,5,I,VVS1,7,2148.83,644.649,10561.83,8413,-1259.834149,,,,,,,,,
1194,0.41,Premium,4,E,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
1206,0.41,Ideal,5,E,VVS1,7,2148.83,644.649,10561.83,8413,-1259.834149,,,,,,,,,
1290,0.41,Ideal,5,G,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
1463,0.41,Ideal,5,I,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
1527,0.41,Ideal,5,F,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
1539,0.41,Premium,4,E,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
1567,0.41,Premium,4,E,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
1575,0.41,Ideal,5,F,IF,8,2602.83,780.849,11015.83,8413,-805.8341491,,,,,,,,,
1583,0.41,Premium,4,F,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
1636,0.41,Ideal,5,I,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
1645,0.41,Premium,4,G,SI1,3,174.73,52.419,8587.73,8413,-3233.934149,,,,,,,,,
1646,0.41,Premium,4,E,SI1,3,174.73,52.419,8587.73,8413,-3233.934149,,,,,,,,,
1659,0.41,Ideal,5,G,VS1,4,786.83,236.049,9199.83,8413,-2621.834149,,,,,,,,,
1684,0.41,Ideal,5,I,VS1,4,786.83,236.049,9199.83,8413,-2621.834149,,,,,,,,,
1698,0.41,Good,2,E,VVS2,6,1220.53,366.159,9633.53,8413,-2188.134149,,,,,,,,,
1730,0.41,Good,2,G,VVS1,7,1674.53,502.359,10087.53,8413,-1734.134149,,,,,,,,,
1737,0.41,Ideal,5,J,VS1,4,786.83,236.049,9199.83,8413,-2621.834149,,,,,,,,,
1754,0.41,Ideal,5,G,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
1761,0.41,Ideal,5,E,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
1779,0.41,Good,2,E,SI2,2,-595.47,-178.641,7817.53,8413,-4004.134149,,,,,,,,,
1816,0.41,Very Good,3,D,VS2,5,924.63,277.389,9337.63,8413,-2484.034149,,,,,,,,,
1877,0.41,Premium,4,E,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
1939,0.41,Premium,4,E,SI2,2,-279.27,-83.781,8133.73,8413,-3687.934149,,,,,,,,,
2017,0.41,Premium,4,F,VS2,5,1082.73,324.819,9495.73,8413,-2325.934149,,,,,,,,,
2027,0.41,Ideal,5,E,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
2106,0.41,Premium,4,D,SI2,2,-279.27,-83.781,8133.73,8413,-3687.934149,,,,,,,,,
2126,0.41,Premium,4,G,VVS2,6,1536.73,461.019,9949.73,8413,-1871.934149,,,,,,,,,
2177,0.41,Ideal,5,H,VVS1,7,2148.83,644.649,10561.83,8413,-1259.834149,,,,,,,,,
2209,0.41,Premium,4,G,VS2,5,1082.73,324.819,9495.73,8413,-2325.934149,,,,,,,,,
2354,0.41,Very Good,3,F,VVS1,7,1832.63,549.789,10245.63,8413,-1576.034149,,,,,,,,,
2403,0.41,Ideal,5,J,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
2442,0.41,Ideal,5,F,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
2449,0.41,Very Good,3,G,VVS2,6,1378.63,413.589,9791.63,8413,-2030.034149,,,,,,,,,
2464,0.41,Very Good,3,G,VS1,4,470.63,141.189,8883.63,8413,-2938.034149,,,,,,,,,
2465,0.41,Ideal,5,E,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
2521,0.41,Ideal,5,E,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
2617,0.41,Ideal,5,E,VVS1,7,2148.83,644.649,10561.83,8413,-1259.834149,,,,,,,,,
2686,0.41,Ideal,5,F,VS2,5,1240.83,372.249,9653.83,8413,-2167.834149,,,,,,,,,
2692,0.41,Very Good,3,E,SI2,2,-437.37,-131.211,7975.63,8413,-3846.034149,,,,,,,,,
2807,0.41,Ideal,5,E,VVS2,6,1694.83,508.449,10107.83,8413,-1713.834149,,,,,,,,,
2888,0.41,Premium,4,G,VS1,4,628.73,188.619,9041.73,8413,-2779.934149,,,,,,,,,
273,0.42,Very Good,3,G,SI1,3,100.76,30.228,8513.76,8413,-3388.187768,,,,,,,,,
280,0.42,Ideal,5,F,VS2,5,1324.96,397.488,9737.96,8413,-2163.987768,,,,,,,,,
303,0.42,Premium,4,G,VS2,5,1166.86,350.058,9579.86,8413,-2322.087768,,,,,,,,,
360,0.42,Ideal,5,G,VVS1,7,2232.96,669.888,10645.96,8413,-1255.987768,,,,,,,,,
560,0.42,Very Good,3,G,VS2,5,1008.76,302.628,9421.76,8413,-2480.187768,,,,,,,,,
567,0.42,Very Good,3,D,SI2,2,-353.24,-105.972,8059.76,8413,-3842.187768,,,,,,,,,
581,0.42,Ideal,5,G,VS1,4,870.96,261.288,9283.96,8413,-2617.987768,,,,,,,,,
623,0.42,Ideal,5,D,SI1,3,416.96,125.088,8829.96,8413,-3071.987768,,,,,,,,,
696,0.42,Ideal,5,D,SI1,3,416.96,125.088,8829.96,8413,-3071.987768,,,,,,,,,
704,0.42,Premium,4,H,SI1,3,258.86,77.658,8671.86,8413,-3230.087768,,,,,,,,,
722,0.42,Ideal,5,D,VS1,4,870.96,261.288,9283.96,8413,-2617.987768,,,,,,,,,
807,0.42,Premium,4,D,VS1,4,712.86,213.858,9125.86,8413,-2776.087768,,,,,,,,,
976,0.42,Ideal,5,E,VS2,5,1324.96,397.488,9737.96,8413,-2163.987768,,,,,,,,,
1024,0.42,Very Good,3,D,VS1,4,554.76,166.428,8967.76,8413,-2934.187768,,,,,,,,,
1198,0.42,Ideal,5,J,VS1,4,870.96,261.288,9283.96,8413,-2617.987768,,,,,,,,,
1524,0.42,Ideal,5,D,VVS2,6,1778.96,533.688,10191.96,8413,-1709.987768,,,,,,,,,
1620,0.42,Ideal,5,G,VS2,5,1324.96,397.488,9737.96,8413,-2163.987768,,,,,,,,,
1653,0.42,Good,2,F,SI1,3,-57.34,-17.202,8355.66,8413,-3546.287768,,,,,,,,,
1692,0.42,Very Good,3,E,SI1,3,100.76,30.228,8513.76,8413,-3388.187768,,,,,,,,,
1741,0.42,Ideal,5,E,VVS1,7,2232.96,669.888,10645.96,8413,-1255.987768,,,,,,,,,
1903,0.42,Premium,4,G,SI1,3,258.86,77.658,8671.86,8413,-3230.087768,,,,,,,,,
1905,0.42,Ideal,5,E,SI2,2,-37.04,-11.112,8375.96,8413,-3525.987768,,,,,,,,,
1974,0.42,Premium,4,H,VVS1,7,2074.86,622.458,10487.86,8413,-1414.087768,,,,,,,,,
2002,0.42,Ideal,5,F,VVS2,6,1778.96,533.688,10191.96,8413,-1709.987768,,,,,,,,,
2076,0.42,Ideal,5,G,SI1,3,416.96,125.088,8829.96,8413,-3071.987768,,,,,,,,,
2078,0.42,Very Good,3,H,VS2,5,1008.76,302.628,9421.76,8413,-2480.187768,,,,,,,,,
2095,0.42,Ideal,5,D,VS2,5,1324.96,397.488,9737.96,8413,-2163.987768,,,,,,,,,
2141,0.42,Ideal,5,H,VVS1,7,2232.96,669.888,10645.96,8413,-1255.987768,,,,,,,,,
2263,0.42,Ideal,5,F,VS1,4,870.96,261.288,9283.96,8413,-2617.987768,,,,,,,,,
2322,0.42,Ideal,5,D,VVS2,6,1778.96,533.688,10191.96,8413,-1709.987768,,,,,,,,,
2344,0.42,Ideal,5,G,VVS2,6,1778.96,533.688,10191.96,8413,-1709.987768,,,,,,,,,
2407,0.42,Premium,4,F,VVS1,7,2074.86,622.458,10487.86,8413,-1414.087768,,,,,,,,,
2444,0.42,Ideal,5,G,VS2,5,1324.96,397.488,9737.96,8413,-2163.987768,,,,,,,,,
2501,0.42,Ideal,5,G,VS1,4,870.96,261.288,9283.96,8413,-2617.987768,,,,,,,,,
2544,0.42,Ideal,5,E,VS2,5,1324.96,397.488,9737.96,8413,-2163.987768,,,,,,,,,
2574,0.42,Ideal,5,G,VS1,4,870.96,261.288,9283.96,8413,-2617.987768,,,,,,,,,
2627,0.42,Very Good,3,E,SI1,3,100.76,30.228,8513.76,8413,-3388.187768,,,,,,,,,
2682,0.42,Very Good,3,D,SI2,2,-353.24,-105.972,8059.76,8413,-3842.187768,,,,,,,,,
2765,0.42,Premium,4,G,VS2,5,1166.86,350.058,9579.86,8413,-2322.087768,,,,,,,,,
2886,0.42,Premium,4,E,SI2,2,-195.14,-58.542,8217.86,8413,-3684.087768,,,,,,,,,
2953,0.42,Ideal,5,G,VVS1,7,2232.96,669.888,10645.96,8413,-1255.987768,,,,,,,,,
215,0.43,Premium,4,E,VS2,5,1250.99,375.297,9663.99,8413,-2317.877577,,,,,,,,,
289,0.43,Ideal,5,F,VVS2,6,1863.09,558.927,10276.09,8413,-1705.777577,,,,,,,,,
406,0.43,Premium,4,E,SI1,3,342.99,102.897,8755.99,8413,-3225.877577,,,,,,,,,
487,0.43,Very Good,3,E,SI1,3,184.89,55.467,8597.89,8413,-3383.977577,,,,,,,,,
510,0.43,Ideal,5,G,VVS1,7,2317.09,695.127,10730.09,8413,-1251.777577,,,,,,,,,
542,0.43,Premium,4,I,IF,8,2612.99,783.897,11025.99,8413,-955.8775765,,,,,,,,,
559,0.43,Ideal,5,G,VVS2,6,1863.09,558.927,10276.09,8413,-1705.777577,,,,,,,,,
1035,0.43,Very Good,3,G,SI1,3,184.89,55.467,8597.89,8413,-3383.977577,,,,,,,,,
1044,0.43,Very Good,3,G,SI2,2,-269.11,-80.733,8143.89,8413,-3837.977577,,,,,,,,,
1090,0.43,Ideal,5,G,VS1,4,955.09,286.527,9368.09,8413,-2613.777577,,,,,,,,,
1112,0.43,Ideal,5,G,VVS1,7,2317.09,695.127,10730.09,8413,-1251.777577,,,,,,,,,
1150,0.43,Good,2,E,SI1,3,26.79,8.037,8439.79,8413,-3542.077577,,,,,,,,,
1276,0.43,Good,2,F,SI1,3,26.79,8.037,8439.79,8413,-3542.077577,,,,,,,,,
